chr21:11099662-11099866	chr21:11109153-11109188
chr21:45558236-45558599	chr21:45573584-45574271
chr21:45558236-45558599	chr21:45574660-45575436
chr21:45563949-45564214	chr21:45563949-45564214
chr21:45563949-45564214	chr21:45566076-45566451
chr21:45563949-45564214	chr21:45573018-45573302
chr21:45563949-45564214	chr21:45573584-45574271
chr21:45563949-45564214	chr21:45574660-45575436
chr21:46349799-46350126	chr21:46495480-46495526
chr21:46349799-46350126	chr21:46496242-46496452
chr21:46372506-46372851	chr21:46488937-46489238
chr21:46372506-46372851	chr21:46495480-46495526
chr21:46372506-46372851	chr21:46496242-46496452
chr21:46385193-46385585	chr21:46488937-46489238
chr21:46385193-46385585	chr21:46495480-46495526
chr21:46385193-46385585	chr21:46496242-46496452
chr21:46387960-46388437	chr21:46488937-46489238
chr21:46387960-46388437	chr21:46495480-46495526
chr21:46387960-46388437	chr21:46496242-46496452
chr21:46389792-46390113	chr21:46488937-46489238
chr21:46389792-46390113	chr21:46495480-46495526
chr21:46389792-46390113	chr21:46496242-46496452
chr21:46437821-46438082	chr21:46495480-46495526
chr21:46461202-46461645	chr21:46495480-46495526
chr21:46495480-46495526	chr21:46501791-46502122
chr21:46496242-46496452	chr21:46501791-46502122
chr21:46495480-46495526	chr21:46549530-46549961
chr21:46495480-46495526	chr21:46550297-46550615
chr21:46495480-46495526	chr21:46552843-46553033
chr21:46496242-46496452	chr21:46549530-46549961
chr21:46496242-46496452	chr21:46550297-46550615
chr21:46496242-46496452	chr21:46552843-46553033
chr21:46495480-46495526	chr21:46952785-46952947
chr21:46495480-46495526	chr21:46953548-46953790
chr21:46719490-46719844	chr21:46737459-46737695
chr21:46783934-46784395	chr21:46831544-46831752
chr21:46783934-46784395	chr21:46832879-46833080
chr20:351057-351207	chr20:381159-381302
chr20:351057-351207	chr20:382514-382753
chr20:352488-352859	chr20:381159-381302
chr20:352488-352859	chr20:382514-382753
chr20:353974-354548	chr20:381159-381302
chr20:353974-354548	chr20:382514-382753
chr20:652993-653392	chr20:709042-709425
chr20:1154843-1155127	chr20:1167289-1167675
chr20:10477280-10477577	chr20:10486121-10486184
chr20:23031353-23032100	chr20:23271772-23272010
chr20:23076817-23077038	chr20:23093286-23093480
chr20:23077676-23077974	chr20:23093286-23093480
chr20:23096926-23097715	chr20:23111253-23111412
chr20:23111253-23111412	chr20:23125768-23126430
chr20:23111253-23111412	chr20:23132681-23132741
chr20:23111253-23111412	chr20:23132994-23133379
chr20:23111253-23111412	chr20:23134714-23134832
chr20:23111253-23111412	chr20:23136585-23137102
chr20:23111253-23111412	chr20:23138539-23138715
chr20:23111253-23111412	chr20:23140057-23140426
chr20:23111253-23111412	chr20:23140701-23140917
chr20:23111253-23111412	chr20:23142150-23142576
chr20:23117564-23117783	chr20:23125768-23126430
chr20:23117564-23117783	chr20:23132681-23132741
chr20:23117564-23117783	chr20:23132994-23133379
chr20:23117564-23117783	chr20:23134714-23134832
chr20:23117564-23117783	chr20:23136585-23137102
chr20:23117564-23117783	chr20:23138539-23138715
chr20:23117564-23117783	chr20:23140057-23140426
chr20:23117564-23117783	chr20:23140701-23140917
chr20:23117564-23117783	chr20:23142150-23142576
chr20:23121642-23121836	chr20:23125768-23126430
chr20:23121642-23121836	chr20:23132681-23132741
chr20:23121642-23121836	chr20:23132994-23133379
chr20:23121642-23121836	chr20:23134714-23134832
chr20:23121642-23121836	chr20:23136585-23137102
chr20:23121642-23121836	chr20:23138539-23138715
chr20:23121642-23121836	chr20:23140057-23140426
chr20:23121642-23121836	chr20:23140701-23140917
chr20:23121642-23121836	chr20:23142150-23142576
chr20:23122999-23123199	chr20:23125768-23126430
chr20:23122999-23123199	chr20:23132681-23132741
chr20:23122999-23123199	chr20:23132994-23133379
chr20:23122999-23123199	chr20:23134714-23134832
chr20:23122999-23123199	chr20:23136585-23137102
chr20:23122999-23123199	chr20:23138539-23138715
chr20:23122999-23123199	chr20:23140057-23140426
chr20:23122999-23123199	chr20:23140701-23140917
chr20:23122999-23123199	chr20:23142150-23142576
chr20:23123782-23124035	chr20:23125768-23126430
chr20:23123782-23124035	chr20:23132681-23132741
chr20:23123782-23124035	chr20:23132994-23133379
chr20:23123782-23124035	chr20:23134714-23134832
chr20:23123782-23124035	chr20:23136585-23137102
chr20:23123782-23124035	chr20:23138539-23138715
chr20:23123782-23124035	chr20:23140057-23140426
chr20:23123782-23124035	chr20:23140701-23140917
chr20:23123782-23124035	chr20:23142150-23142576
chr20:30148718-30149081	chr20:30190743-30190994
chr20:30148718-30149081	chr20:30191850-30192346
chr20:30148718-30149081	chr20:30194967-30195344
chr20:30148718-30149081	chr20:30196293-30196740
chr20:30158598-30158945	chr20:30190743-30190994
chr20:30158598-30158945	chr20:30191850-30192346
chr20:30158598-30158945	chr20:30194967-30195344
chr20:30158598-30158945	chr20:30196293-30196740
chr20:30161920-30162316	chr20:30190743-30190994
chr20:30161920-30162316	chr20:30191850-30192346
chr20:30161920-30162316	chr20:30194967-30195344
chr20:30161920-30162316	chr20:30196293-30196740
chr20:30175524-30175854	chr20:30191850-30192346
chr20:30182515-30183026	chr20:30191850-30192346
chr20:30182515-30183026	chr20:30194967-30195344
chr20:31126196-31126450	chr20:31170393-31170766
chr20:31126196-31126450	chr20:31171182-31171312
chr20:31126528-31126767	chr20:31170393-31170766
chr20:31126528-31126767	chr20:31171182-31171312
chr20:31126982-31127359	chr20:31170393-31170766
chr20:31126982-31127359	chr20:31171182-31171312
chr20:31127706-31127839	chr20:31170393-31170766
chr20:31127706-31127839	chr20:31171182-31171312
chr20:31170393-31170766	chr20:31214876-31215264
chr20:31171182-31171312	chr20:31214876-31215264
chr20:31170393-31170766	chr20:31192929-31193228
chr20:31171182-31171312	chr20:31192929-31193228
chr20:31269107-31269491	chr20:31339575-31339797
chr20:31339575-31339797	chr20:31350973-31351317
chr20:31339575-31339797	chr20:31352490-31352753
chr20:34681523-34681969	chr20:34689096-34689267
chr20:35464098-35464342	chr20:35489284-35489554
chr20:35464098-35464342	chr20:35490387-35490628
chr20:39620099-39620424	chr20:39631777-39632207
chr20:39620099-39620424	chr20:39632234-39632572
chr20:43517782-43518230	chr20:43540233-43540373
chr20:43596220-43596403	chr20:43607893-43608251
chr20:43965327-43965544	chr20:43972131-43972359
chr20:43965327-43965544	chr20:43972821-43973151
chr20:43965327-43965544	chr20:43974041-43974470
chr20:43970100-43970351	chr20:43972131-43972359
chr20:43970100-43970351	chr20:43972821-43973151
chr20:43970100-43970351	chr20:43974041-43974470
chr20:43972131-43972359	chr20:43972131-43972359
chr20:43972131-43972359	chr20:43972821-43973151
chr20:43972131-43972359	chr20:43974041-43974470
chr20:45943818-45944172	chr20:45987479-45988292
chr20:45943818-45944172	chr20:45988883-45989283
chr20:45943818-45944172	chr20:45989347-45989834
chr20:45944502-45944683	chr20:45987479-45988292
chr20:45944502-45944683	chr20:45988883-45989283
chr20:45944502-45944683	chr20:45989347-45989834
chr20:45946049-45946481	chr20:45987479-45988292
chr20:45946049-45946481	chr20:45988883-45989283
chr20:45946049-45946481	chr20:45989347-45989834
chr20:45960088-45960376	chr20:45987479-45988292
chr20:45960088-45960376	chr20:45988883-45989283
chr20:45960088-45960376	chr20:45989347-45989834
chr20:45962816-45963214	chr20:45987479-45988292
chr20:45962816-45963214	chr20:45988883-45989283
chr20:45962816-45963214	chr20:45989347-45989834
chr20:47784409-47784640	chr20:47803381-47804147
chr20:48598723-48598794	chr20:48610028-48610288
chr20:48598723-48598794	chr20:48615959-48616196
chr20:48598723-48598794	chr20:48617449-48617575
chr20:48598723-48598794	chr20:48619796-48620156
chr20:48598723-48598794	chr20:48707582-48707967
chr20:48598723-48598794	chr20:48673016-48673032
chr20:48598723-48598794	chr20:48688468-48688637
chr20:48598723-48598794	chr20:48809447-48810205
chr20:48598723-48598794	chr20:48810888-48811172
chr20:48598723-48598794	chr20:48663510-48663968
chr20:48598723-48598794	chr20:48664895-48665291
chr20:48598723-48598794	chr20:48770876-48771106
chr20:48753681-48754062	chr20:48763277-48763795
chr20:48753681-48754062	chr20:48763985-48764114
chr20:48804007-48804349	chr20:48995783-48996016
chr20:48804007-48804349	chr20:48998789-48998956
chr20:48804007-48804349	chr20:48837485-48837796
chr20:48804007-48804349	chr20:48838079-48838414
chr20:48804007-48804349	chr20:48841053-48841720
chr20:48804007-48804349	chr20:48842958-48843496
chr20:48809447-48810205	chr20:48837485-48837796
chr20:48809447-48810205	chr20:48838079-48838414
chr20:48809447-48810205	chr20:48841053-48841720
chr20:48809447-48810205	chr20:48842958-48843496
chr20:48810888-48811172	chr20:48837485-48837796
chr20:48810888-48811172	chr20:48838079-48838414
chr20:48810888-48811172	chr20:48841053-48841720
chr20:48810888-48811172	chr20:48842958-48843496
chr20:48804007-48804349	chr20:48865015-48865181
chr20:48809447-48810205	chr20:49047228-49047674
chr20:48809447-48810205	chr20:49051331-49051557
chr20:48810888-48811172	chr20:49047228-49047674
chr20:48810888-48811172	chr20:49051331-49051557
chr20:48809447-48810205	chr20:48959759-48960001
chr20:48809447-48810205	chr20:48963020-48963333
chr20:48810888-48811172	chr20:48959759-48960001
chr20:48810888-48811172	chr20:48963020-48963333
chr20:48809447-48810205	chr20:48913708-48913808
chr20:48810888-48811172	chr20:48913708-48913808
chr20:48809447-48810205	chr20:48901354-48901524
chr20:48809447-48810205	chr20:48902426-48902799
chr20:48809447-48810205	chr20:48903106-48903611
chr20:48810888-48811172	chr20:48901354-48901524
chr20:48810888-48811172	chr20:48902426-48902799
chr20:48810888-48811172	chr20:48903106-48903611
chr20:48809447-48810205	chr20:49099357-49099539
chr20:48809447-48810205	chr20:49100027-49100544
chr20:48940987-48941235	chr20:48950504-48950697
chr20:49051331-49051557	chr20:49063008-49063172
chr20:49099357-49099539	chr20:49114687-49115016
chr20:49100027-49100544	chr20:49114687-49115016
chr20:49286898-49287066	chr20:49358421-49358698
chr20:52346173-52346470	chr20:52356771-52357178
chr20:52353948-52354213	chr20:52367753-52368082
chr20:52355086-52355238	chr20:52367753-52368082
chr20:52356771-52357178	chr20:52367753-52368082
chr20:52367753-52368082	chr20:52445816-52446339
chr20:52367753-52368082	chr20:52446362-52446831
chr20:52371075-52371265	chr20:52445816-52446339
chr20:52371075-52371265	chr20:52446362-52446831
chr20:52371075-52371265	chr20:52550838-52551665
chr20:52542599-52542948	chr20:52550838-52551665
chr20:52542599-52542948	chr20:52551883-52552311
chr20:55964119-55964506	chr20:55976268-55976716
chr20:55964119-55964506	chr20:55985197-55985345
chr20:55965649-55965902	chr20:55976268-55976716
chr20:55965649-55965902	chr20:55985197-55985345
chr20:55968808-55969481	chr20:55976268-55976716
chr20:55968808-55969481	chr20:55985197-55985345
chr20:55973445-55973831	chr20:55976268-55976716
chr20:55973445-55973831	chr20:55985197-55985345
chr20:55976268-55976716	chr20:55976268-55976716
chr20:55976268-55976716	chr20:55985197-55985345
chr20:55965649-55965902	chr20:56032255-56032633
chr20:55965649-55965902	chr20:56027077-56027304
chr20:57557787-57558211	chr20:57579440-57580501
chr20:57557787-57558211	chr20:57585788-57586041
chr20:57557787-57558211	chr20:57586300-57586427
chr20:57585788-57586041	chr20:57596187-57596442
chr20:57586300-57586427	chr20:57596187-57596442
chr20:60719468-60719634	chr20:60758632-60758689
chr20:60924549-60924827	chr20:60940876-60941209
chr20:60924549-60924827	chr20:60941528-60941750
chr20:60939635-60939778	chr20:60956313-60956720
chr20:60939635-60939778	chr20:60956743-60957219
chr20:60940876-60941209	chr20:60956313-60956720
chr20:60940876-60941209	chr20:60956743-60957219
chr20:60941528-60941750	chr20:60956313-60956720
chr20:60941528-60941750	chr20:60956743-60957219
chr20:60943690-60943839	chr20:60956313-60956720
chr20:60943690-60943839	chr20:60956743-60957219
chr20:60944265-60944566	chr20:60956313-60956720
chr20:60944265-60944566	chr20:60956743-60957219
chr20:62138486-62138705	chr20:62150785-62151100
chr20:62139467-62139677	chr20:62150785-62151100
chr20:62150785-62151100	chr20:62170184-62170345
chr20:62150785-62151100	chr20:62176586-62176848
chr20:62461535-62461811	chr20:62478016-62478296
chr20:62461535-62461811	chr20:62479673-62479738
chr20:62466212-62466776	chr20:62478016-62478296
chr20:62466212-62466776	chr20:62479673-62479738
chr20:62478016-62478296	chr20:62485386-62485810
chr20:62478016-62478296	chr20:62486806-62487199
chr20:62478016-62478296	chr20:62494990-62495823
chr20:62479673-62479738	chr20:62485386-62485810
chr20:62479673-62479738	chr20:62486806-62487199
chr20:62479673-62479738	chr20:62494990-62495823
chr20:62482031-62482202	chr20:62485386-62485810
chr20:62482031-62482202	chr20:62486806-62487199
chr20:62482031-62482202	chr20:62494990-62495823
chr20:62485386-62485810	chr20:62485386-62485810
chr20:62485386-62485810	chr20:62486806-62487199
chr20:62485386-62485810	chr20:62494990-62495823
chr20:62609214-62609358	chr20:62676233-62676312
chr20:62609214-62609358	chr20:62676779-62676921
chr22:17567178-17567397	chr22:17652206-17652871
chr22:19159081-19159242	chr22:19410653-19410889
chr22:19159081-19159242	chr22:19433007-19433028
chr22:19378121-19378382	chr22:19400101-19400223
chr22:19378121-19378382	chr22:19410653-19410889
chr22:19378121-19378382	chr22:19427862-19428165
chr22:19378121-19378382	chr22:19433007-19433028
chr22:19378121-19378382	chr22:19447944-19448297
chr22:19400101-19400223	chr22:19400101-19400223
chr22:19400101-19400223	chr22:19410653-19410889
chr22:19400101-19400223	chr22:19427862-19428165
chr22:19400101-19400223	chr22:19433007-19433028
chr22:19400101-19400223	chr22:19447944-19448297
chr22:19410653-19410889	chr22:19410653-19410889
chr22:19410653-19410889	chr22:19427862-19428165
chr22:19410653-19410889	chr22:19433007-19433028
chr22:19410653-19410889	chr22:19447944-19448297
chr22:19427862-19428165	chr22:19447944-19448297
chr22:19433007-19433028	chr22:19447944-19448297
chr22:19703205-19703405	chr22:19811643-19811941
chr22:19703205-19703405	chr22:19866426-19867011
chr22:19703205-19703405	chr22:19869401-19869687
chr22:19703205-19703405	chr22:19874514-19874924
chr22:19703205-19703405	chr22:19883943-19884390
chr22:19703205-19703405	chr22:19930770-19931097
chr22:19703205-19703405	chr22:19941739-19941814
chr22:19703205-19703405	chr22:19946096-19946477
chr22:19703205-19703405	chr22:19946850-19947150
chr22:19703205-19703405	chr22:19972525-19972715
chr22:19749283-19749521	chr22:19811643-19811941
chr22:19749283-19749521	chr22:19866426-19867011
chr22:19749283-19749521	chr22:19869401-19869687
chr22:19749283-19749521	chr22:19874514-19874924
chr22:19749283-19749521	chr22:19883943-19884390
chr22:19749283-19749521	chr22:19930770-19931097
chr22:19749283-19749521	chr22:19941739-19941814
chr22:19749283-19749521	chr22:19946096-19946477
chr22:19749283-19749521	chr22:19946850-19947150
chr22:19749283-19749521	chr22:19972525-19972715
chr22:19811643-19811941	chr22:19811643-19811941
chr22:19811643-19811941	chr22:19866426-19867011
chr22:19811643-19811941	chr22:19869401-19869687
chr22:19811643-19811941	chr22:19874514-19874924
chr22:19811643-19811941	chr22:19883943-19884390
chr22:19811643-19811941	chr22:19930770-19931097
chr22:19811643-19811941	chr22:19941739-19941814
chr22:19811643-19811941	chr22:19946096-19946477
chr22:19811643-19811941	chr22:19946850-19947150
chr22:19811643-19811941	chr22:19972525-19972715
chr22:19866426-19867011	chr22:19866426-19867011
chr22:19866426-19867011	chr22:19869401-19869687
chr22:19866426-19867011	chr22:19874514-19874924
chr22:19866426-19867011	chr22:19883943-19884390
chr22:19866426-19867011	chr22:19930770-19931097
chr22:19866426-19867011	chr22:19941739-19941814
chr22:19866426-19867011	chr22:19946096-19946477
chr22:19866426-19867011	chr22:19946850-19947150
chr22:19866426-19867011	chr22:19972525-19972715
chr22:19869401-19869687	chr22:19869401-19869687
chr22:19869401-19869687	chr22:19874514-19874924
chr22:19869401-19869687	chr22:19883943-19884390
chr22:19869401-19869687	chr22:19930770-19931097
chr22:19869401-19869687	chr22:19941739-19941814
chr22:19869401-19869687	chr22:19946096-19946477
chr22:19869401-19869687	chr22:19946850-19947150
chr22:19869401-19869687	chr22:19972525-19972715
chr22:19874514-19874924	chr22:19874514-19874924
chr22:19874514-19874924	chr22:19883943-19884390
chr22:19874514-19874924	chr22:19930770-19931097
chr22:19874514-19874924	chr22:19941739-19941814
chr22:19874514-19874924	chr22:19946096-19946477
chr22:19874514-19874924	chr22:19946850-19947150
chr22:19874514-19874924	chr22:19972525-19972715
chr22:19883943-19884390	chr22:19883943-19884390
chr22:19883943-19884390	chr22:19930770-19931097
chr22:19883943-19884390	chr22:19941739-19941814
chr22:19883943-19884390	chr22:19946096-19946477
chr22:19883943-19884390	chr22:19946850-19947150
chr22:19883943-19884390	chr22:19972525-19972715
chr22:19703205-19703405	chr22:19749283-19749521
chr22:19749283-19749521	chr22:19749283-19749521
chr22:19930770-19931097	chr22:19946096-19946477
chr22:19930770-19931097	chr22:19946850-19947150
chr22:19930770-19931097	chr22:19972525-19972715
chr22:19930770-19931097	chr22:19983308-19983423
chr22:19930770-19931097	chr22:19983834-19983932
chr22:19930770-19931097	chr22:20009239-20009629
chr22:19930770-19931097	chr22:20068627-20068902
chr22:19930770-19931097	chr22:20142939-20143182
chr22:19941739-19941814	chr22:19946096-19946477
chr22:19941739-19941814	chr22:19946850-19947150
chr22:19941739-19941814	chr22:19972525-19972715
chr22:19941739-19941814	chr22:19983308-19983423
chr22:19941739-19941814	chr22:19983834-19983932
chr22:19941739-19941814	chr22:20009239-20009629
chr22:19941739-19941814	chr22:20068627-20068902
chr22:19941739-19941814	chr22:20142939-20143182
chr22:19946096-19946477	chr22:19946096-19946477
chr22:19946096-19946477	chr22:19946850-19947150
chr22:19946096-19946477	chr22:19972525-19972715
chr22:19946096-19946477	chr22:19983308-19983423
chr22:19946096-19946477	chr22:19983834-19983932
chr22:19946096-19946477	chr22:20009239-20009629
chr22:19946096-19946477	chr22:20068627-20068902
chr22:19946096-19946477	chr22:20142939-20143182
chr22:19946850-19947150	chr22:19946850-19947150
chr22:19946850-19947150	chr22:19972525-19972715
chr22:19946850-19947150	chr22:19983308-19983423
chr22:19946850-19947150	chr22:19983834-19983932
chr22:19946850-19947150	chr22:20009239-20009629
chr22:19946850-19947150	chr22:20068627-20068902
chr22:19946850-19947150	chr22:20142939-20143182
chr22:19972525-19972715	chr22:19972525-19972715
chr22:19972525-19972715	chr22:19983308-19983423
chr22:19972525-19972715	chr22:19983834-19983932
chr22:19972525-19972715	chr22:20009239-20009629
chr22:19972525-19972715	chr22:20068627-20068902
chr22:19972525-19972715	chr22:20142939-20143182
chr22:19983308-19983423	chr22:19983308-19983423
chr22:19983308-19983423	chr22:19983834-19983932
chr22:19983308-19983423	chr22:20009239-20009629
chr22:19983308-19983423	chr22:20068627-20068902
chr22:19983308-19983423	chr22:20142939-20143182
chr22:19983834-19983932	chr22:19983834-19983932
chr22:19983834-19983932	chr22:20009239-20009629
chr22:19983834-19983932	chr22:20068627-20068902
chr22:19983834-19983932	chr22:20142939-20143182
chr22:20009239-20009629	chr22:20009239-20009629
chr22:20009239-20009629	chr22:20068627-20068902
chr22:20009239-20009629	chr22:20142939-20143182
chr22:20068627-20068902	chr22:20068627-20068902
chr22:20068627-20068902	chr22:20142939-20143182
chr22:19930770-19931097	chr22:19941739-19941814
chr22:20199029-20199266	chr22:20199029-20199266
chr22:20199029-20199266	chr22:20201514-20201701
chr22:20199029-20199266	chr22:20207380-20207531
chr22:20850844-20851071	chr22:20863506-20864089
chr22:20850844-20851071	chr22:20886351-20886470
chr22:20863506-20864089	chr22:20885626-20885829
chr22:20863506-20864089	chr22:20886351-20886470
chr22:21221716-21221966	chr22:21273214-21273312
chr22:21273214-21273312	chr22:21285744-21286048
chr22:21925144-21925370	chr22:21979927-21980091
chr22:21979927-21980091	chr22:21979927-21980091
chr22:21979927-21980091	chr22:22010846-22011267
chr22:21979927-21980091	chr22:22011632-22012115
chr22:22067448-22067680	chr22:22290676-22291029
chr22:22170870-22171333	chr22:22219429-22219677
chr22:22186398-22186549	chr22:22219429-22219677
chr22:22187099-22187411	chr22:22219429-22219677
chr22:22204010-22204393	chr22:22219429-22219677
chr22:22205229-22205454	chr22:22219429-22219677
chr22:22219429-22219677	chr22:22231244-22231441
chr22:22219429-22219677	chr22:22290676-22291029
chr22:22290676-22291029	chr22:22334723-22335115
chr22:22861017-22861374	chr22:22861017-22861374
chr22:23226163-23226651	chr22:23285622-23285920
chr22:23267134-23267334	chr22:23277682-23278181
chr22:23520668-23520822	chr22:23520668-23520822
chr22:23520668-23520822	chr22:23528251-23528416
chr22:23520668-23520822	chr22:23552686-23553004
chr22:23520668-23520822	chr22:23624437-23624690
chr22:23528251-23528416	chr22:23528251-23528416
chr22:23528251-23528416	chr22:23552686-23553004
chr22:23528251-23528416	chr22:23624437-23624690
chr22:23552686-23553004	chr22:23552686-23553004
chr22:23552686-23553004	chr22:23624437-23624690
chr22:29428666-29428910	chr22:29548210-29548510
chr22:29428666-29428910	chr22:29548778-29549084
chr22:29548210-29548510	chr22:29598879-29599169
chr22:29548210-29548510	chr22:29600744-29600965
chr22:29548210-29548510	chr22:29601085-29601300
chr22:29591621-29591757	chr22:29598879-29599169
chr22:29591621-29591757	chr22:29600744-29600965
chr22:29591621-29591757	chr22:29601085-29601300
chr22:29591621-29591757	chr22:29603016-29603222
chr22:30708168-30708313	chr22:30721148-30721367
chr22:36746983-36747265	chr22:36763287-36763361
chr22:36753062-36753318	chr22:36765300-36765605
chr22:37624378-37624586	chr22:37638328-37638951
chr22:37624836-37624960	chr22:37638328-37638951
chr22:37625376-37625551	chr22:37638328-37638951
chr22:37942064-37942352	chr22:37957606-37958042
chr22:37948648-37948841	chr22:37957606-37958042
chr22:38057516-38057596	chr22:38330051-38330075
chr22:39635222-39635426	chr22:39705997-39706111
chr22:39635664-39635940	chr22:39705997-39706111
chr22:39637977-39638270	chr22:39649567-39649736
chr22:39693596-39693744	chr22:39705997-39706111
chr22:39698105-39698354	chr22:39705997-39706111
chr22:39890901-39891082	chr22:39923809-39924011
chr22:41809427-41810696	chr22:41839332-41839605
chr22:41809427-41810696	chr22:41840300-41840792
chr22:41809427-41810696	chr22:41844337-41844774
chr22:46432742-46433091	chr22:46464940-46465203
chr22:46464940-46465203	chr22:46480881-46481264
chr22:47134957-47135355	chr22:47154084-47154397
chr22:50608010-50608409	chr22:50622526-50622601
chr22:50608010-50608409	chr22:50625511-50626004
chr22:50609711-50610057	chr22:50622526-50622601
chr22:50609711-50610057	chr22:50625511-50626004
chr22:50747003-50747284	chr22:50764173-50764461
chr11:312288-312763	chr11:350841-351091
chr11:312288-312763	chr11:353403-353830
chr11:316246-316608	chr11:350841-351091
chr11:316246-316608	chr11:353403-353830
chr11:316965-317318	chr11:350841-351091
chr11:316965-317318	chr11:353403-353830
chr11:749835-750077	chr11:813578-813760
chr11:813578-813760	chr11:813578-813760
chr11:813578-813760	chr11:840856-841090
chr11:840856-841090	chr11:840856-841090
chr11:1991146-1991394	chr11:2009660-2010154
chr11:2705021-2705206	chr11:2717684-2718130
chr11:2714612-2714953	chr11:2907965-2908172
chr11:2717684-2718130	chr11:2907965-2908172
chr11:2717684-2718130	chr11:2799950-2800256
chr11:2717684-2718130	chr11:2951529-2951649
chr11:2790402-2790588	chr11:2799950-2800256
chr11:2790945-2791119	chr11:2799950-2800256
chr11:2907965-2908172	chr11:2951529-2951649
chr11:2913617-2913951	chr11:2951529-2951649
chr11:2919958-2920393	chr11:2933631-2934118
chr11:2919958-2920393	chr11:2951529-2951649
chr11:2933631-2934118	chr11:2933631-2934118
chr11:2933631-2934118	chr11:2951529-2951649
chr11:3180503-3180713	chr11:3190411-3190716
chr11:3180503-3180713	chr11:3190882-3191107
chr11:5300063-5300226	chr11:5311058-5311280
chr11:5301836-5302123	chr11:5311058-5311280
chr11:9587499-9588027	chr11:9635436-9636077
chr11:9587499-9588027	chr11:9636768-9636900
chr11:9588297-9588534	chr11:9635436-9636077
chr11:9588297-9588534	chr11:9636768-9636900
chr11:9635436-9636077	chr11:9648348-9648562
chr11:9636768-9636900	chr11:9648348-9648562
chr11:12132692-12132808	chr11:12146355-12146795
chr11:12132692-12132808	chr11:12148184-12148552
chr11:12133218-12133350	chr11:12146355-12146795
chr11:12133218-12133350	chr11:12148184-12148552
chr11:12136145-12136580	chr11:12146355-12146795
chr11:12136145-12136580	chr11:12148184-12148552
chr11:32915475-32916456	chr11:33181656-33182005
chr11:33889104-33889440	chr11:33958868-33959233
chr11:46004522-46004898	chr11:46015298-46015560
chr11:46094625-46094954	chr11:46143609-46143973
chr11:46135373-46135563	chr11:46258702-46259233
chr11:46143609-46143973	chr11:46258702-46259233
chr11:46143609-46143973	chr11:46264726-46265198
chr11:46264726-46265198	chr11:46275806-46275990
chr11:46379063-46379180	chr11:46385171-46385493
chr11:47395886-47396392	chr11:47410614-47411033
chr11:47395886-47396392	chr11:47411304-47411624
chr11:47395886-47396392	chr11:47412671-47413114
chr11:47395886-47396392	chr11:47413654-47413921
chr11:47395886-47396392	chr11:47414531-47414922
chr11:47395886-47396392	chr11:47414965-47416043
chr11:47402161-47402584	chr11:47410614-47411033
chr11:47402161-47402584	chr11:47411304-47411624
chr11:47402161-47402584	chr11:47412671-47413114
chr11:47402161-47402584	chr11:47413654-47413921
